"","x"
"1","TRUE"
"7","TRUE"
"17","TRUE"
"22","TRUE"
"23","TRUE"
"24","TRUE"
"33","TRUE"
"43","TRUE"
"47","TRUE"
"48","TRUE"
"59","TRUE"
"62","TRUE"
"64","TRUE"
"70","TRUE"
"77","TRUE"
"78","TRUE"
"84","TRUE"
"91","TRUE"
"99","TRUE"
"107","TRUE"
"109","TRUE"
"112","TRUE"
"113","TRUE"
"114","TRUE"
"124","TRUE"
"137","TRUE"
"138","TRUE"
"150","TRUE"
"152","TRUE"
"157","TRUE"
"158","TRUE"
"160","TRUE"
"168","TRUE"
"172","TRUE"
"175","TRUE"
"179","TRUE"
"181","TRUE"
"183","TRUE"
"184","TRUE"
"188","TRUE"
"210","TRUE"
"215","TRUE"
"218","TRUE"
"228","TRUE"
"241","TRUE"
"244","TRUE"
"257","FALSE"
"267","TRUE"
"268","TRUE"
"271","TRUE"
"275","TRUE"
"277","TRUE"
"278","TRUE"
"279","TRUE"
"281","TRUE"
"282","TRUE"
"283","TRUE"
"285","TRUE"
"293","TRUE"
"301","TRUE"
"312","TRUE"
"315","TRUE"
"317","TRUE"
"334","FALSE"
"335","TRUE"
"338","TRUE"
"340","TRUE"
"348","TRUE"
"355","TRUE"
"357","TRUE"
"359","TRUE"
"362","TRUE"
"363","TRUE"
"366","TRUE"
"372","TRUE"
"373","TRUE"
"380","TRUE"
"381","TRUE"
"391","TRUE"
"397","TRUE"
"401","TRUE"
"407","TRUE"
"413","TRUE"
"417","TRUE"
"419","TRUE"
"423","TRUE"
"428","TRUE"
"432","TRUE"
"445","TRUE"
"461","TRUE"
"467","TRUE"
"472","TRUE"
"473","TRUE"
"474","TRUE"
"475","FALSE"
"486","TRUE"
"512","FALSE"
"513","TRUE"
"519","TRUE"
"526","TRUE"
"530","TRUE"
"531","TRUE"
"538","TRUE"
"546","TRUE"
"550","TRUE"
"559","TRUE"
"565","TRUE"
"571","TRUE"
"579","TRUE"
"590","TRUE"
"594","TRUE"
"601","TRUE"
"606","TRUE"
"608","TRUE"
"609","TRUE"
"613","TRUE"
"616","TRUE"
"619","TRUE"
"626","TRUE"
"627","TRUE"
"629","TRUE"
"630","TRUE"
"632","TRUE"
"641","TRUE"
"646","TRUE"
"648","TRUE"
"652","TRUE"
"653","TRUE"
"658","TRUE"
"659","TRUE"
"661","TRUE"
"667","TRUE"
"674","TRUE"
"701","TRUE"
"713","TRUE"
"714","FALSE"
"718","TRUE"
"720","TRUE"
"725","TRUE"
"727","TRUE"
"728","TRUE"
"736","TRUE"
"740","TRUE"
"746","TRUE"
"752","TRUE"
"754","TRUE"
"755","TRUE"
"756","TRUE"
"763","TRUE"
"764","TRUE"
"775","TRUE"
"776","TRUE"
"779","TRUE"
"784","TRUE"
"791","TRUE"
"794","TRUE"
"795","TRUE"
"824","TRUE"
"838","TRUE"
"848","TRUE"
"850","TRUE"
"851","TRUE"
"852","FALSE"
"853","TRUE"
"859","TRUE"
"869","TRUE"
"874","TRUE"
"876","TRUE"
"887","TRUE"
"891","TRUE"
"893","TRUE"
"894","TRUE"
"895","TRUE"
"896","TRUE"
"903","TRUE"
"907","TRUE"
"911","TRUE"
"928","TRUE"
"930","TRUE"
"945","TRUE"
"951","TRUE"
"952","TRUE"
"954","TRUE"
"957","TRUE"
"959","TRUE"
"962","TRUE"
"968","TRUE"
"977","TRUE"
"983","TRUE"
"988","TRUE"
"992","TRUE"
"993","TRUE"
"994","TRUE"
"995","TRUE"
"997","TRUE"
"1001","TRUE"
"1002","TRUE"
"1003","TRUE"
"1008","TRUE"
"1012","TRUE"
"1019","TRUE"
"1023","TRUE"
"1024","TRUE"
"1027","TRUE"
"1031","TRUE"
"1034","TRUE"
"1036","TRUE"
"1044","TRUE"
"1050","TRUE"
"1065","TRUE"
"1069","TRUE"
"1072","TRUE"
"1081","TRUE"
"1090","TRUE"
"1092","TRUE"
"1095","TRUE"
"1107","TRUE"
"1109","TRUE"
"1116","TRUE"
"1117","TRUE"
"1119","TRUE"
"1121","TRUE"
"1131","TRUE"
"1138","TRUE"
"1143","TRUE"
"1151","TRUE"
"1156","TRUE"
"1167","TRUE"
"1173","TRUE"
"1174","TRUE"
"1175","TRUE"
"1181","TRUE"
"1182","TRUE"
"1183","TRUE"
"1184","TRUE"
"1190","TRUE"
"1205","TRUE"
"1209","TRUE"
"1211","TRUE"
"1213","TRUE"
"1226","TRUE"
"1229","TRUE"
"1232","TRUE"
"1237","TRUE"
"1246","TRUE"
"1248","TRUE"
"1256","TRUE"
"1261","TRUE"
"1269","TRUE"
"1280","TRUE"
"1287","TRUE"
"1295","TRUE"
"1297","TRUE"
"1301","TRUE"
"1305","TRUE"
"1306","TRUE"
"1312","TRUE"
"1315","TRUE"
"1325","TRUE"
"1327","TRUE"
"1328","TRUE"
"1335","TRUE"
"1341","TRUE"
"1348","TRUE"
"1349","TRUE"
"1364","TRUE"
"1377","TRUE"
"1383","TRUE"
"1384","TRUE"
"1394","TRUE"
"1398","TRUE"
"1412","TRUE"
"1413","TRUE"
"1418","TRUE"
"1425","TRUE"
"1427","TRUE"
"1428","TRUE"
"1437","TRUE"
"1438","TRUE"
"1439","TRUE"
"1440","TRUE"
"1443","TRUE"
"1453","TRUE"
"1455","TRUE"
"1462","TRUE"
"1463","TRUE"
"1466","TRUE"
"1468","TRUE"
"1473","TRUE"
"1477","TRUE"
"1490","TRUE"
"1503","TRUE"
"1511","TRUE"
"1518","TRUE"
"1523","TRUE"
"1530","TRUE"
"1538","TRUE"
"1544","TRUE"
"1547","TRUE"
"1548","TRUE"
"1549","TRUE"
"1567","TRUE"
"1569","TRUE"
"1578","TRUE"
"1597","TRUE"
"1598","TRUE"
"1599","TRUE"
"1604","TRUE"
"1611","TRUE"
"1621","TRUE"
"1624","TRUE"
"1628","TRUE"
"1637","TRUE"
"1638","TRUE"
"1639","TRUE"
"1640","TRUE"
"1642","TRUE"
"1651","TRUE"
"1653","TRUE"
"1660","TRUE"
"1661","TRUE"
"1665","TRUE"
"1668","TRUE"
"1676","TRUE"
"1681","TRUE"
"1683","TRUE"
"1688","TRUE"
"1693","TRUE"
"1695","TRUE"
"1697","TRUE"
"1704","TRUE"
"1710","TRUE"
"1711","TRUE"
"1716","TRUE"
"1718","TRUE"
"1730","TRUE"
"1740","TRUE"
"1743","TRUE"
"1749","TRUE"
"1750","TRUE"
"1756","TRUE"
"1759","TRUE"
"1764","TRUE"
"1767","TRUE"
"1784","TRUE"
"1798","TRUE"
"1803","TRUE"
"1818","TRUE"
"1819","TRUE"
"1827","TRUE"
"1833","TRUE"
"1839","TRUE"
"1853","TRUE"
"1857","TRUE"
"1860","TRUE"
"1871","FALSE"
"1873","TRUE"
"1878","TRUE"
"1886","TRUE"
"1897","TRUE"
"1899","TRUE"
"1903","TRUE"
"1916","TRUE"
"1917","TRUE"
"1918","TRUE"
"1933","TRUE"
"1938","TRUE"
"1940","TRUE"
"1944","TRUE"
