,0
0,-64
1,-62
2,-59
3,-56
4,-52
5,-49
6,-47
7,-45
8,-45
9,-46
10,-49
11,-52
12,-55
13,-60
14,-69
15,-87
16,-102
17,-112
18,-121
19,-125
20,-128
21,-133
22,-137
23,-141
24,-143
25,-144
26,-143
27,-139
28,-135
29,-132
30,-131
31,-130
32,-129
33,-129
34,-126
35,-117
36,-108
37,-101
38,-82
39,-54
40,-4
41,75
42,185
43,323
44,480
45,641
46,785
47,885
48,915
49,846
50,682
51,451
52,206
53,-4
54,-150
55,-206
56,-226
57,-216
58,-199
59,-183
60,-172
61,-159
62,-140
63,-132
64,-131
65,-129
66,-128
67,-128
68,-127
69,-125
70,-124
71,-124
72,-124
73,-123
74,-123
75,-121
76,-117
77,-112
78,-106
79,-99
80,-93
81,-90
82,-88
83,-85
84,-83
85,-83
86,-84
87,-84
88,-81
89,-77
90,-73
91,-70
92,-65
93,-57
94,-50
95,-40
96,-25
97,-8
98,7
99,20
100,28
101,34
102,40
103,48
104,58
105,66
106,75
107,84
108,95
109,102
110,109
111,116
112,121
113,129
114,144
115,157
116,168
117,181
118,192
119,201
120,206
121,211
122,215
123,220
124,223
125,223
126,218
127,211
128,200
129,184
130,169
131,155
132,141
133,124
134,106
135,87
136,67
137,44
138,25
139,12
140,0
141,-12
142,-26
143,-41
144,-54
145,-66
146,-75
147,-81
148,-83
149,-83
150,-83
151,-83
152,-84
153,-86
154,-88
155,-89
156,-89
157,-88
158,-88
159,-88
160,-88
161,-89
162,-91
163,-92
164,-93
165,-93
166,-92
167,-89
168,-85
169,-83
170,-81
171,-77
172,-74
173,-72
174,-71
175,-70
176,-68
177,-67
178,-67
179,-67
180,-67
181,-68
182,-68
183,-67
184,-66
185,-66
186,-66
187,-65
188,-64
189,-65
190,-66
191,-65
192,-64
193,-63
194,-61
195,-59
196,-57
197,-57
198,-56
199,-56
200,-57
201,-58
202,-60
203,-60
204,-60
205,-60
206,-60
207,-59
208,-57
209,-57
210,-56
211,-55
212,-54
213,-54
214,-54
215,-49
216,-43
217,-36
218,-29
219,-22
220,-15
221,-9
222,-4
223,-1
224,1
225,3
226,5
227,8
228,12
229,16
230,20
231,23
232,26
233,28
234,32
235,37
236,43
237,49
238,57
239,63
240,69
241,73
242,78
243,83
244,87
245,90
246,92
247,94
248,97
249,99
250,102
251,105
252,108
253,111
254,113
255,116
256,119
257,121
258,123
259,126
260,131
261,139
262,147
263,155
264,165
265,178
266,194
267,208
268,221
269,232
270,238
271,240
272,240
273,241
274,242
275,243
276,244
277,245
278,245
279,245
280,245
281,245
282,243
283,241
284,237
285,234
286,232
287,231
288,230
289,229
290,227
291,225
292,223
293,221
294,217
295,215
296,215
297,217
298,219
299,222
300,226
301,230
302,233
303,237
304,242
305,255
306,266
307,280
308,297
309,327
310,373
311,444
312,541
313,664
314,810
315,969
316,1126
317,1253
318,1298
319,1285
320,1171
321,957
322,713
323,484
324,302
325,210
326,177
327,191
328,207
329,219
330,226
331,224
332,221
333,219
334,214
335,210
336,210
337,215
338,221
339,225
340,229
341,233
342,237
343,242
344,248
345,253
346,258
347,260
348,261
349,263
350,266
351,269
352,272
353,276
354,281
355,285
356,290
357,294
358,299
359,302
360,305
361,311
362,318
363,326
364,332
365,336
366,339
367,343
368,348
369,355
370,362
371,371
372,381
373,393
374,405
375,413
376,418
377,423
378,427
379,432
380,438
381,447
382,461
383,475
384,492
385,514
386,525
387,530
388,534
389,537
390,540
391,543
392,545
393,547
394,548
395,548
396,547
397,545
398,543
399,541
400,540
401,536
402,519
403,485
404,435
405,369
406,285
407,186
408,78
409,-37
410,-154
411,-266
412,-370
413,-466
414,-551
415,-623
416,-678
417,-722
418,-747
419,-773
