"","RR","samp","afib","rmean","rsec","trans"
"1",0.636,174,"B",0.636,0.636,3
"2",0.716,353,"B",0.656,1.352,3
"3",0.628,510,"B",0.649,1.98,3
"4",0.716,689,"B",0.66575,2.696,3
"5",0.624,845,"B",0.6553125,3.32,3
"6",0.552,983,"B",0.629484375,3.872,3
"7",0.76,1173,"B",0.66211328125,4.632,3
"8",0.716,1352,"B",0.6755849609375,5.348,3
"9",0.728,1534,"B",0.688688720703125,6.076,3
"10",0.752,1722,"B",0.704516540527344,6.828,3
"11",0.584,1868,"B",0.674387405395508,7.412,3
"12",0.704,2044,"B",0.681790554046631,8.116,3
"13",0.668,2211,"B",0.678342915534973,8.784,3
"14",0.532,2344,"B",0.64175718665123,9.316,2
"15",0.532,2477,"B",0.614317889988423,9.848,3
"16",0.704,2653,"B",0.636738417491317,10.552,3
"17",0.552,2791,"B",0.615553813118488,11.104,3
"18",0.608,2943,"B",0.613665359838866,11.712,3
"19",0.528,3075,"B",0.592249019879149,12.24,3
"20",0.684,3246,"B",0.615186764909362,12.924,3
"21",0.712,3424,"B",0.639390073682021,13.636,3
"22",0.84,3634,"B",0.689542555261516,14.476,1
"23",0.748,3821,"B",0.704156916446137,15.224,3
"24",0.756,4010,"B",0.717117687334603,15.98,3
"25",0.684,4181,"B",0.708838265500952,16.664,3
"26",0.676,4350,"B",0.700628699125714,17.34,3
"27",0.588,4497,"B",0.672471524344286,17.928,3
"28",0.548,4634,"B",0.641353643258214,18.476,3
"29",0.616,4788,"B",0.635015232443661,19.092,3
"30",0.848,5000,"B",0.688261424332746,19.94,1
"31",0.636,5159,"B",0.675196068249559,20.576,3
"32",0.628,5316,"B",0.663397051187169,21.204,3
"33",0.528,5448,"B",0.629547788390377,21.732,2
"34",0.628,5605,"B",0.629160841292783,22.36,3
"35",0.768,5797,"B",0.663870630969587,23.128,1
"36",0.744,5983,"B",0.68390297322719,23.872,3
"37",0.728,6165,"B",0.694927229920393,24.6,3
"38",0.636,6324,"B",0.680195422440295,25.236,3
"39",1.14,6609,"B",0.795146566830221,26.376,1
"40",0.624,6765,"B",0.752359925122666,27,2
"41",0.624,6921,"B",0.720269943841999,27.624,3
"42",0.62,7076,"B",0.695202457881499,28.244,3
"43",0.708,7253,"B",0.698401843411125,28.952,3
"44",0.84,7463,"B",0.733801382558343,29.792,3
"45",0.7,7638,"B",0.725351036918757,30.492,3
"46",0.76,7828,"B",0.734013277689068,31.252,3
"47",0.628,7985,"B",0.707509958266801,31.88,3
"48",0.972,8228,"B",0.773632468700101,32.852,1
