"","RR","samp","afib","rmean","rsec","trans"
"1",0.548,276,"B",0.548,0.548,2
"2",0.588,423,"B",0.558,1.136,2
"3",0.62,578,"B",0.5735,1.756,2
"4",0.52,708,"B",0.560125,2.276,2
"5",0.52,838,"B",0.55009375,2.796,2
"6",0.492,961,"B",0.5355703125,3.288,2
"7",0.512,1089,"B",0.529677734375,3.8,2
"8",0.556,1228,"B",0.53625830078125,4.356,2
"9",0.552,1366,"B",0.540193725585937,4.908,2
"10",0.648,1528,"B",0.567145294189453,5.556,2
"11",0.584,1674,"B",0.57135897064209,6.14,2
"12",0.612,1827,"B",0.581519227981567,6.752,2
"13",0.492,1950,"B",0.559139420986176,7.244,2
"14",0.576,2094,"B",0.563354565739632,7.82,2
"15",0.628,2251,"B",0.579515924304724,8.448,2
"16",0.62,2406,"B",0.589636943228543,9.068,2
"17",0.568,2548,"B",0.584227707421407,9.636,2
"18",0.548,2685,"B",0.575170780566055,10.184,2
"19",0.472,2803,"B",0.549378085424542,10.656,2
"20",0.54,2938,"B",0.547033564068406,11.196,2
"21",0.636,3097,"B",0.569275173051305,11.832,2
"22",0.556,3236,"B",0.565956379788479,12.388,2
"23",0.712,3414,"B",0.602467284841359,13.1,3
"24",0.628,3571,"B",0.608850463631019,13.728,2
"25",0.66,3736,"B",0.621637847723264,14.388,2
"26",0.504,3862,"B",0.592228385792448,14.892,2
"27",0.536,3996,"B",0.578171289344336,15.428,2
"28",0.54,4131,"B",0.568628467008252,15.968,2
"29",0.688,4303,"B",0.598471350256189,16.656,2
"30",0.692,4476,"B",0.621853512692142,17.348,2
"31",0.676,4645,"B",0.635390134519106,18.024,2
"32",0.572,4788,"B",0.61954260088933,18.596,2
"33",0.556,4927,"B",0.603656950666997,19.152,2
"34",0.568,5069,"B",0.594742713000248,19.72,2
"35",0.528,5201,"B",0.578057034750186,20.248,2
"36",0.448,5313,"B",0.545542776062639,20.696,1
"37",0.548,5450,"B",0.54615708204698,21.244,2
"38",0.688,5622,"B",0.581617811535235,21.932,3
"39",0.584,5768,"B",0.582213358651426,22.516,2
"40",0.788,5965,"B",0.633660018988569,23.304,3
"41",0.66,6130,"B",0.640245014241427,23.964,2
"42",0.656,6294,"B",0.64418376068107,24.62,2
"43",0.484,6415,"B",0.604137820510803,25.104,1
"44",0.668,6582,"B",0.620103365383102,25.772,2
"45",0.648,6744,"B",0.627077524037327,26.42,2
"46",0.54,6879,"B",0.605308143027995,26.96,2
"47",0.564,7020,"B",0.594981107270996,27.524,2
"48",0.5,7145,"B",0.571235830453247,28.024,2
"49",0.54,7280,"B",0.563426872839935,28.564,2
"50",0.588,7427,"B",0.569570154629952,29.152,2
"51",0.444,7538,"B",0.538177615972464,29.596,1
"52",0.512,7666,"B",0.531633211979348,30.108,2
"53",0.608,7818,"B",0.550724908984511,30.716,2
"54",0.584,7964,"B",0.559043681738383,31.3,2
"55",0.48,8084,"B",0.539282761303787,31.78,2
"56",0.628,8241,"B",0.561462070977841,32.408,2
"57",0.552,8379,"B",0.55909655323338,32.96,2
"58",0.596,8528,"B",0.568322414925035,33.556,2
"59",0.524,8659,"B",0.557241811193776,34.08,2
"60",0.608,8811,"B",0.569931358395332,34.688,2
"61",0.556,8950,"B",0.566448518796499,35.244,2
"62",0.604,9101,"B",0.575836389097374,35.848,2
"63",0.556,9240,"B",0.570877291823031,36.404,2
"64",0.588,9387,"B",0.575157968867273,36.992,2
"65",0.6,9537,"B",0.581368476650455,37.592,2
"66",0.552,9675,"B",0.574026357487841,38.144,2
"67",0.692,9848,"B",0.603519768115881,38.836,2
"68",0.68,10018,"B",0.622639826086911,39.516,2
"69",0.624,10174,"B",0.622979869565183,40.14,2
"70",0.592,10322,"B",0.615234902173887,40.732,2
"71",0.664,10488,"B",0.627426176630415,41.396,2
"72",0.736,10672,"B",0.654569632472812,42.132,2
"73",0.516,10801,"B",0.619927224354609,42.648,1
"74",0.512,10929,"B",0.592945418265957,43.16,2
"75",0.696,11103,"B",0.618709063699467,43.856,2
"76",0.56,11243,"B",0.604031797774601,44.416,2
"77",0.588,11390,"B",0.60002384833095,45.004,2
"78",0.704,11566,"B",0.626017886248213,45.708,2
