"","ID","ss","sr","sl","rs","rr","rl","ls","lr","ll"
"1","A00001",0,0,0,0,1,0,0,0,0
"2","A00002",0,0,0,0,1,0,0,0,0
"3","A00003",0,0,0,0,1,0,0,0,0
"4","A00004",0,0,0,0,1,0,0,0,0
"5","A00005",0,0,0,0,1,0,0,0,0
"6","A00006",0,0,0,0,1,0,0,0,0
"7","A00007",0,0,0,0,1,0,0,0,0
"8","A00008",0,0,0,0,0.926470588235294,0.0147058823529412,0,0.0147058823529412,0.0441176470588235
"9","A00009",0,0,0,0,1,0,0,0,0
"10","A00010",0,0,0,0,1,0,0,0,0
"11","A00011",0,0,0,0,1,0,0,0,0
"12","A00012",0,0,0,0,1,0,0,0,0
"13","A00013",0,0,0,0,1,0,0,0,0
"14","A00014",0,0,0,0,1,0,0,0,0
"15","A00015",0,0,0,0,1,0,0,0,0
"16","A00016",0,0,0,0,1,0,0,0,0
"17","A00017",0,0,0,0,1,0,0,0,0
"18","A00018",0,0,0,0,1,0,0,0,0
"19","A00019",0,0,0,0,1,0,0,0,0
"20","A00020",0,0,0,0,1,0,0,0,0
"21","A00021",0,0,0,0,1,0,0,0,0
"22","A00022",0,0,0,0,0.142857142857143,0.142857142857143,0,0,0.714285714285714
"23","A00023",0,0,0,0,1,0,0,0,0
"24","A00024",0,0,0,0,1,0,0,0,0
"25","A00025",0,0,0,0,1,0,0,0,0
"26","A00026",0,0,0,0,1,0,0,0,0
"27","A00027",0,0,0,0,1,0,0,0,0
"28","A00028",0,0,0,0,1,0,0,0,0
"29","A00029",0,0,0,0,1,0,0,0,0
"30","A00030",0,0,0,0,0.963636363636364,0.0181818181818182,0,0.0181818181818182,0
"31","A00031",0,0,0,0,1,0,0,0,0
"32","A00032",0,0,0,0,1,0,0,0,0
"33","A00033",0,0,0,0,1,0,0,0,0
"34","A00034",0,0,0,0,1,0,0,0,0
"35","A00035",0,0,0,0,1,0,0,0,0
"36","A00036",0,0,0,0,1,0,0,0,0
"37","A00037",0,0,0,0,1,0,0,0,0
"38","A00038",0,0,0,0,1,0,0,0,0
"39","A00039",0,0,0,0,1,0,0,0,0
"40","A00040",0,0,0,0,1,0,0,0,0
"41","A00041",0,0,0,0,1,0,0,0,0
"42","A00042",0,0,0,0,1,0,0,0,0
"43","A00043",0,0,0,0,1,0,0,0,0
"44","A00044",0,0,0,0,1,0,0,0,0
"45","A00045",0,0,0,0,1,0,0,0,0
"46","A00046",0,0,0,0,1,0,0,0,0
"47","A00047",0,0,0,0,1,0,0,0,0
"48","A00048",0,0,0,0,1,0,0,0,0
"49","A00049",0,0,0,0,1,0,0,0,0
"50","A00050",0,0,0,0,1,0,0,0,0
"51","A00051",0,0,0,0,1,0,0,0,0
"52","A00052",0,0,0,0,1,0,0,0,0
"53","A00053",0,0,0,0,1,0,0,0,0
"54","A00054",0,0,0,0,0.578947368421053,0.0263157894736842,0,0.0263157894736842,0.368421052631579
"55","A00055",0,0,0,0,0.763157894736842,0.0263157894736842,0,0.0263157894736842,0.184210526315789
"56","A00056",0,0,0,0,1,0,0,0,0
"57","A00057",0,0,0,0,0.44,0.04,0,0.04,0.48
"58","A00058",0.564102564102564,0.0256410256410256,0,0.0256410256410256,0.384615384615385,0,0,0,0
"59","A00059",0,0,0,0,1,0,0,0,0
"60","A00060",0,0,0,0,1,0,0,0,0
"61","A00061",0,0,0,0,1,0,0,0,0
"62","A00062",0,0,0,0,1,0,0,0,0
"63","A00063",0,0,0,0,1,0,0,0,0
"64","A00064",0,0,0,0,1,0,0,0,0
"65","A00065",0,0,0,0,1,0,0,0,0
"66","A00066",0,0,0,0,1,0,0,0,0
"67","A00067",0,0,0,0,1,0,0,0,0
"68","A00068",0,0,0,0,1,0,0,0,0
"69","A00069",0,0,0,0,1,0,0,0,0
"70","A00070",0,0,0,0,1,0,0,0,0
"71","A00071",0,0,0,0,1,0,0,0,0
"72","A00072",0,0,0,0,1,0,0,0,0
"73","A00073",0,0,0,0,1,0,0,0,0
"74","A00074",0,0,0,0,1,0,0,0,0
"75","A00075",0,0,0,0,1,0,0,0,0
"76","A00076",0,0,0,0,1,0,0,0,0
"77","A00077",0,0,0,0,1,0,0,0,0
"78","A00078",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","A00079",0,0,0,0,1,0,0,0,0
"80","A00080",0,0,0,0,1,0,0,0,0
"81","A00081",0,0,0,0,1,0,0,0,0
"82","A00082",0,0,0,0,1,0,0,0,0
"83","A00083",0,0,0,0,1,0,0,0,0
"84","A00084",0,0,0,0,1,0,0,0,0
"85","A00085",0,0,0,0,0.918918918918919,0.027027027027027,0,0.027027027027027,0.027027027027027
"86","A00086",0,0,0,0,1,0,0,0,0
"87","A00087",0,0,0,0,1,0,0,0,0
"88","A00088",0,0,0,0,1,0,0,0,0
"89","A00089",0,0,0,0,1,0,0,0,0
"90","A00090",0,0,0,0,1,0,0,0,0
"91","A00091",0,0,0,0,1,0,0,0,0
"92","A00092",0,0,0,0,1,0,0,0,0
"93","A00093",0,0,0,0,1,0,0,0,0
"94","A00094",0,0,0,0,1,0,0,0,0
"95","A00095",0,0,0,0,1,0,0,0,0
"96","A00096",0,0,0,0,1,0,0,0,0
"97","A00097",0,0,0,0,1,0,0,0,0
"98","A00098",0,0,0,0,1,0,0,0,0
"99","A00099",0,0,0,0,1,0,0,0,0
"100","A00100",0,0,0,0,1,0,0,0,0
"101","A00101",0,0,0,0,1,0,0,0,0
"102","A00102",0,0,0,0,1,0,0,0,0
"103","A00103",0.275862068965517,0.0172413793103448,0,0.0172413793103448,0.689655172413793,0,0,0,0
"104","A00104",0,0,0,0,1,0,0,0,0
"105","A00105",0,0,0,0,1,0,0,0,0
"106","A00106",0,0,0,0,1,0,0,0,0
"107","A00107",0,0,0,0,1,0,0,0,0
"108","A00108",0,0,0,0,0.927272727272727,0.0181818181818182,0,0.0181818181818182,0.0363636363636364
"109","A00109",0,0,0,0,1,0,0,0,0
"110","A00110",0,0,0,0,1,0,0,0,0
"111","A00111",0,0,0,0,1,0,0,0,0
"112","A00112",0,0,0,0,1,0,0,0,0
"113","A00113",0,0,0,0,1,0,0,0,0
"114","A00114",0,0,0,0,1,0,0,0,0
"115","A00115",0,0,0,0,1,0,0,0,0
"116","A00116",0,0,0,0,1,0,0,0,0
"117","A00117",0,0,0,0,1,0,0,0,0
"118","A00118",0,0,0,0,1,0,0,0,0
"119","A00119",0,0,0,0,1,0,0,0,0
"120","A00120",0,0,0,0,1,0,0,0,0
