0	-0.023	-6
-6	0.733	214
214	0.793	452
452	0.820	698
698	0.867	958
958	0.860	1216
1216	0.870	1477
1477	0.870	1738
1738	0.873	2000
2000	0.877	2263
2263	0.853	2519
2519	0.847	2773
2773	0.897	3042
3042	0.870	3303
3303	0.893	3571
3571	0.957	3858
3858	0.947	4142
4142	0.873	4404
4404	0.947	4688
4688	0.910	4961
4961	0.873	5223
5223	0.933	5503
5503	0.873	5765
5765	0.873	6027
6027	0.920	6303
6303	0.900	6573
6573	0.880	6837
6837	0.950	7122
7122	0.910	7395
7395	0.877	7658
7658	0.940	7940
7940	0.927	8218
8218	0.877	8481
8481	0.943	8764
